stimulation_amplitude, amplitude
1.0,4.730725839167025
1.09,22.38881029675494
1.18,0.7533479962124119
1.27,6.889848561918297
1.36,34.348438524179414
1.45,4.926880801519953
1.54,19.118139932076815
1.63,26.692170615687658
1.72,56.01021959366565
1.81,34.54311032333007
1.9,-9.814394888958365
1.99,26.460479228685053
2.08,62.55128324546263
2.17,1.312778186333679
2.26,45.25580550040091
2.35,49.84904871134779
2.44,36.064030180932
2.53,63.69137482040274
2.62,46.89990918909842
2.71,86.79743030176559
2.8,104.43413936117241
2.89,78.27138113982694
2.98,109.66643152834392
3.07,169.91652570217414
3.16,137.42541643894953
3.25,232.09634844039746
3.34,232.90779001025288
3.43,261.546362698322
3.52,296.7626056139612
3.61,285.98657399589894
3.7,356.101810566186
3.79,371.2335765247338
3.88,432.34053757608484
3.97,403.34316383365933
4.06,470.6921635158378
4.15,485.7946373096244
4.24,559.7196849224641
4.33,518.4793640261747
4.42,538.8150576636748
4.51,596.4390598287902
4.6,628.5401057071831
4.69,643.8900732944433
4.78,658.090861778663
4.87,719.1272220509771
4.96,700.8786512506351
5.05,713.0128382857536
5.14,675.1628254992377
5.23,743.4067199100951
5.32,783.5396462051191
5.41,830.994704272568
5.5,780.8850934398356
5.59,810.5147857652646
5.68,888.7129021342137
5.77,878.639940450356
5.86,897.4499706809045
5.95,907.482320643092
6.04,956.4445833294535
6.13,940.5456103463109
6.22,961.3037109375
6.31,998.8544337544761
6.4,967.0496660525517
6.49,968.6138563098508
6.58,965.7550239184507
6.67,1013.3087081784026
6.76,995.6915263849271
6.85,1038.9512787377937
6.94,1074.8742310428966
7.03,1095.49952220851
7.12,1120.3285996820916
7.21,1182.6954265391194
7.3,1209.0549911206983
7.39,1208.9980574479132
7.48,1217.9033802695928
7.57,1241.9166160505872
7.66,1226.3833975609568
7.75,1269.2542241241472
7.84,1238.7692774925977
7.93,1259.5742917894709
8.02,1313.1677596358682
8.11,1310.5367857123015
8.2,1342.0840180473285
8.29,1328.0556442917562
8.38,1378.81328222792
8.47,1356.2645806853284
8.56,1348.2355507912598
8.65,1394.1186307761193
8.74,1428.363142351268
8.83,1435.6609331393142
8.92,1452.587515294724
9.01,1423.1136747635787
9.1,1458.0536862339168
9.19,1459.4802988154333
9.28,1466.7943496211892
9.37,1493.3655779420442
9.46,1486.905046436609
9.55,1504.6286513142645
9.64,1522.0906520812857
9.73,1536.7751928960786
9.82,1522.6003245622865
9.91,1543.37710012478
10.0,1523.950120168195
