stimulation_amplitude, amplitude
1.0,8.590204557671386
1.09,13.362426950310638
1.18,8.88214937601564
1.27,10.256502712491766
1.36,11.625232625233433
1.45,11.414507910038353
1.54,48.502400408507555
1.63,20.885349504645664
1.72,34.29646394916493
1.81,39.781350034438915
1.9,16.06258322427716
1.99,10.464607723361908
2.08,16.705817557098413
2.17,3.081503022522355
2.26,46.383331411140915
2.35,60.035064569350595
2.44,138.5744375833973
2.53,16.20018571668433
2.62,8.687994338505007
2.71,13.277134797614178
2.8,102.38584744130497
2.89,63.30050444781199
2.98,47.663863987194155
3.07,60.70069537223493
3.16,224.01734291829953
3.25,193.00132447203822
3.34,212.9587175928138
3.43,166.22594300610862
3.52,313.35227972814516
3.61,341.382613276621
3.7,287.72764984507046
3.79,354.11991063656745
3.88,578.8868388829477
3.97,729.3154304542725
4.06,575.072578725788
4.15,636.7912092748707
4.24,850.8301150975328
4.33,1078.995253551035
4.42,1093.1797445630602
4.51,1199.4111926670796
4.6,1398.4476713200313
4.69,1343.466666292039
4.78,1534.7983164800899
4.87,1871.0832556035016
4.96,1819.4179302574496
5.05,1770.0263197063348
5.14,2087.8103172901833
5.23,2097.4364062839386
5.32,2017.8724759969114
5.41,2163.8317752347743
5.5,2215.306309373814
5.59,2116.374633366501
5.68,2233.545670314504
5.77,2343.076520217601
5.86,2421.583352756412
5.95,2313.542887003603
6.04,2456.7966445818906
6.13,2396.893026206463
6.22,2295.9532553832337
6.31,2451.032541052968
6.4,2446.4873477141705
6.49,2474.8216290465507
6.58,2448.119539820996
6.67,2436.544684158358
6.76,2503.1390952375687
6.85,2329.5641545816275
6.94,2469.0335639928053
7.03,2611.6664794189132
7.12,2416.4123013623857
7.21,2461.5905769484107
7.3,2607.7333705921023
7.39,2864.493395598927
7.48,2627.5494930000245
7.57,2656.881742551469
7.66,2598.4998846769336
7.75,2672.0431045567907
7.84,2532.5463888923
7.93,2593.5305068918756
8.02,2782.305049393177
8.11,2690.841123291731
8.2,2663.0094312233578
8.29,2748.095815013423
8.38,2774.455285026906
8.47,2775.769619494467
8.56,2740.7850111267076
8.65,2846.5101378417116
8.74,3004.8212846632787
8.83,2793.2946507845413
8.92,2799.379779809305
9.01,2893.3510511368986
9.1,2778.7608148936024
9.19,2595.645522559425
9.28,2870.4500390774338
9.37,2624.230995551861
9.46,2797.8323220253365
9.55,2534.6893332599548
9.64,2462.8196903309126
9.73,2558.88242602044
9.82,2318.8809986517595
9.91,2556.758918473203
10.0,2574.6792439918822
