stimulation_amplitude, amplitude
1.0,22.90895929634201
1.09,21.550567196380698
1.18,4.519385875119077
1.27,9.499301696410756
1.36,61.42193089841058
1.45,7.403716578760932
1.54,13.115423112779425
1.63,21.093346954810926
1.72,65.36793052338578
1.81,38.980726754590734
1.9,-13.495037290227629
1.99,40.950475057519654
2.08,81.57403272824087
2.17,21.059311644991382
2.26,48.11217789595696
2.35,20.81236557145622
2.44,30.969479796057406
2.53,26.387759826878238
2.62,20.76093484039118
2.71,44.65420295447487
2.8,60.857803196977315
2.89,41.47939760902756
2.98,39.304461042639986
3.07,94.20303838144096
3.16,46.181090835142015
3.25,171.6066930073319
3.34,156.4972426262534
3.43,245.22517083701607
3.52,192.95791580339912
3.61,234.81617797463986
3.7,333.65255192880096
3.79,432.1857995854065
3.88,441.7804162145502
3.97,500.58996937685043
4.06,635.9107114679005
4.15,696.3463685568041
4.24,875.8882442141755
4.33,815.2946250954553
4.42,725.84169406552
4.51,994.7982443650351
4.6,1243.0079372553764
4.69,1385.0730878752322
4.78,1411.580478339311
4.87,1543.519049260465
4.96,1462.4206368490813
5.05,1477.6710805568368
5.14,1328.3943244948664
5.23,1775.894521617676
5.32,1961.7006339565014
5.41,1169.9800833297081
5.5,1994.6345346836088
5.59,1909.0162132154592
5.68,1970.1658713129336
5.77,1977.6587292285467
5.86,2409.7061587593494
5.95,2329.509893680554
6.04,2178.5427464382847
6.13,2237.3761166334284
6.22,2190.9336965745097
6.31,2219.701576318292
6.4,2452.766443335145
6.49,2170.372477154685
6.58,2274.1946036123554
6.67,2534.487535935697
6.76,2362.369253488117
6.85,2317.220566166306
6.94,2421.3204770635125
7.03,2294.71180987791
7.12,2353.5845568661143
7.21,2240.237551347768
7.3,2379.775565195093
7.39,2428.234414400288
7.48,2566.7139922933347
7.57,2456.1037906769448
7.66,2863.0493340820653
7.75,2519.3188140888183
7.84,2605.2661149666324
7.93,2461.7603160590165
8.02,2723.830544833588
8.11,2731.8052369560373
8.2,2645.723716940204
8.29,2650.6568828566014
8.38,2632.1521551766805
8.47,2665.530750360317
8.56,2641.9750588254096
8.65,2810.514712243341
8.74,2876.89059078727
8.83,2586.176552688217
8.92,2650.6193554185193
9.01,2766.5074768235695
9.1,2857.1601801783045
9.19,2766.8031595222315
9.28,2643.552598439705
9.37,2924.9802274697786
9.46,2750.417049892893
9.55,2922.163603593038
9.64,2917.38483892802
9.73,2814.7528619125924
9.82,2663.336861079262
9.91,2941.0870585186562
10.0,2876.533880186059
