spike_count, amplitude
0.0,-722.9740430045
0.25,-748.0137379545708
0.5,-740.4910519542934
0.75,-775.3308420964631
1.0,-769.212821599877
1.25,-797.5698295905843
1.5,-788.3986867230938
1.75,-816.2454487110688
2.0,-786.1326152633466
2.25,-912.7867657419689
2.5,-735.9182705330309
2.75,-774.1817493185736
3.0,-781.7177553035204
3.25,-779.2956319005633
3.5,-808.1731832722621
3.75,-795.4574112531977
4.0,-794.255686229659
4.25,-733.3953871610827
4.5,-775.1665342710921
4.75,-786.6914906058631
5.0,-758.9296621858015
5.25,-863.790391725227
5.5,-785.5963552232495
5.75,-779.6056444087629
6.0,-774.5487666360118
6.25,-744.8383832715313
6.5,-826.4691135621968
6.75,-789.8775904063691
7.0,-824.6765399276529
7.25,-803.5742460560091
7.5,-780.330575317825
7.75,-812.6726019410496
8.0,-909.0728906780565
8.25,-838.8923238275165
8.5,-807.347631699118
8.75,-814.4867277213166
9.0,-713.1236877004527
9.25,-823.0795005128991
9.5,-879.1957132311679
9.75,-809.4797177246876
10.0,-871.7852336976895
10.25,-844.8833779721068
10.5,-829.076015009664
10.75,-1065.3462926612192
11.0,-826.039832593459
11.25,-866.7782839537921
11.5,-830.5539686950398
11.75,-853.7382054006297
12.0,-783.8877147394065
12.25,-830.883391469479
12.5,-816.2319770604452
12.75,-842.5167006215988
13.0,-759.0278519040056
13.25,-836.9919707521199
13.5,-826.9507635174213
13.75,-850.9736666069799
14.0,-902.099081486817
14.25,-794.6093625033328
14.5,-836.1403192017386
14.75,-484.55292379875254
15.0,-884.0205228513012
15.25,-815.8245357565265
15.5,-731.9531185424198
15.75,-787.8243838629394
16.0,-825.8081674859769
16.25,-853.679830742668
16.5,-821.9128676942319
16.75,-863.0686754573576
17.0,-835.9407261665763
17.25,-858.2534907129442
17.5,-872.4406914507865
17.75,-837.1704706506455
18.0,-845.9942174609497
18.25,-846.7581969961111
18.5,-859.2553119000531
18.75,-899.2469247645356
19.0,-861.3886574701165
19.25,-876.2818635091495
19.5,-828.9625337440644
19.75,-898.0044025494049
20.0,-843.8703277691192
20.25,-859.8631772764045
20.5,-815.7242130324985
20.75,-833.1022439494162
21.0,-903.3433942030222
21.25,-902.474832637017
21.5,-907.5409026381035
21.75,-862.5231926604208
22.0,-936.605646054367
22.25,-1136.1628228543682
22.5,-949.0636686004417
22.75,-942.8159885029218
23.0,-908.3191035088087
23.25,-956.8428453520019
23.5,-913.3236478445194
23.75,-997.5551563409588
24.0,-930.8055146720612
24.25,-981.9796659191145
24.5,-1047.8666042544694
24.75,-967.4308799010042
25.0,-982.1003380894008
25.25,-978.7234561871558
25.5,-1049.2094700551825
25.75,-1003.3324216969514
26.0,-1050.9278911166202
26.25,-983.398889350791
26.5,-975.9605623609494
26.75,-980.8080065348124
27.0,-1023.5664134835885
27.25,-1013.4295356545522
27.5,-1002.8961096002729
27.75,-954.6397378474718
28.0,-979.1040317373746
28.25,-983.0442991382664
28.5,-980.0710669511362
28.75,-1022.5918958743654
29.0,-993.6289657244993
29.25,-1010.0138679785823
29.5,-1014.7210496440246
29.75,-1058.4811345620342
30.0,-960.0265794705011
30.25,-964.3784800271275
30.5,-989.9472562562327
30.75,-969.6600328269024
31.0,-962.1889559111561
31.25,-975.5982557106689
31.5,-1026.9057411308127
31.75,-952.3482259078384
32.0,-937.5643266974339
32.25,-953.3704002087086
32.5,-912.2892814662284
32.75,-957.0001538398038
33.0,-998.9225078189754
33.25,-932.8959268821352
33.5,-870.3637407527647
33.75,-979.6376953351265
34.0,-909.9388860869581
34.25,-938.3962067753771
34.5,-910.883925777382
34.75,-865.8179433529003
35.0,-889.4449474367082
35.25,-846.6920514640719
35.5,-917.4844921442952
35.75,-1145.9481564257271
36.0,-873.11995915428
36.25,-927.9766353659015
36.5,-824.9575415344664
36.75,-918.6222498665445
37.0,-790.8883233351038
37.25,-868.9153182111581
37.5,-857.3632075964298
37.75,-836.1554466176833
38.0,-837.3127884835479
38.25,-855.1890897875799
38.5,-905.5152254889223
38.75,-852.4445023380658
39.0,-858.2692736047782
39.25,-874.7434854894611
39.5,-856.0912316037242
39.75,-867.8805938761858
40.0,-841.6758009369506
40.25,-844.9734403934353
40.5,-850.2760742142246
40.75,-877.0971937015173
41.0,-398.4190824411662
41.25,-881.9309876642612
41.5,-854.0901732967193
41.75,-951.6049598305062
42.0,-895.6328573091239
42.25,-860.4521220565608
42.5,-879.0040087536403
42.75,-909.9745808050856
43.0,-964.3149551431558
43.25,-888.4290532723962
43.5,-871.1151685303098
43.75,-852.1649118539137
44.0,-888.2202627645529
44.25,-948.846595919333
44.5,-904.1380809840035
44.75,-909.3168698996342
45.0,-884.0384272060718
45.25,-904.1520033266893
45.5,-940.5075131787157
45.75,-889.9034186437442
46.0,-946.9733895171361
46.25,-926.4779737384373
46.5,-862.5118942691736
46.75,-921.4949826301745
47.0,-983.0543884373681
47.25,-959.2167382107292
47.5,-973.6819765696753
47.75,-948.893374419399
48.0,-991.859320156904
48.25,-966.8782191097213
