spike_count, amplitude
0.0,-543.349152044141
0.25,-706.4163833143106
0.5,-644.2137472288395
0.75,-664.8358855491468
1.0,-621.3018215277675
1.25,-738.5238950022409
1.5,-741.4162150360063
1.75,-740.9581806182051
2.0,-738.6174772838301
2.25,-970.8943176773622
2.5,-624.4287746220925
2.75,-677.429751396347
3.0,-761.6833874219691
3.25,-740.5679676523971
3.5,-782.891096532808
3.75,-725.5491797196464
4.0,-636.3586123602254
4.25,-635.3665140587531
4.5,-708.3473184512115
4.75,-733.1106624673982
5.0,-704.0604716217583
5.25,-759.3806825114552
5.5,-653.4661156835596
5.75,-797.4601813408616
6.0,-734.6530699860515
6.25,-750.7108108274623
6.5,-751.8191029192977
6.75,-765.2077052425574
7.0,-766.8327252708059
7.25,-720.1768930349537
7.5,-832.0731552997429
7.75,-792.4066628137283
8.0,-815.5936399176899
8.25,-818.7669994796676
8.5,-811.1624156766426
8.75,-844.4092344003818
9.0,-708.2467044696406
9.25,-826.8138629982353
9.5,-815.2052305048858
9.75,-834.0312648335649
10.0,-756.3874351921316
10.25,-828.3388301210474
10.5,-836.802483260274
10.75,-1066.5657934675482
11.0,-893.0253430723343
11.25,-817.6376672513659
11.5,-828.3054613314669
11.75,-753.9655537426894
12.0,-878.5362461459013
12.25,-788.9865875068247
12.5,-863.2626296683974
12.75,-911.6647325847376
13.0,-804.4144219470445
13.25,-794.7400085343058
13.5,-977.8492973981243
13.75,-930.0699326599944
14.0,-903.0850923038746
14.25,-864.9205922190313
14.5,-900.1878878847689
14.75,-793.264185675404
15.0,-971.956826104034
15.25,-806.8939029681432
15.5,-797.7670309334508
15.75,-966.6776079363374
16.0,-976.4536698711726
16.25,-972.566671722469
16.5,-824.2541609759076
16.75,-1004.2266347148112
17.0,-1024.4059765385957
17.25,-1039.9023329878298
17.5,-915.1834514343017
17.75,-948.4123015108866
18.0,-1068.7266054469947
18.25,-950.5813353090442
18.5,-825.2100301378016
18.75,-1131.0242286432094
19.0,-948.5640016735208
19.25,-1013.0692001130087
19.5,-1073.8958100264656
19.75,-1015.4727805232023
20.0,-841.2872220295864
20.25,-1039.0428683535188
20.5,-931.0401328741108
20.75,-867.6584409321486
21.0,-946.2826517061983
21.25,-1060.8203483529533
21.5,-978.1933440486679
21.75,-1025.9529948291133
22.0,-1129.9857556153713
22.25,-1218.89186197245
22.5,-1237.087035007702
22.75,-1140.2992482872944
23.0,-1000.1393052813312
23.25,-1254.5983142480934
23.5,-1213.5904978833369
23.75,-1189.0995207995209
24.0,-1267.1277997615848
24.25,-1248.3369727950692
24.5,-1123.8563678212968
24.75,-1234.2581284523803
25.0,-1203.2599140213517
25.25,-1176.1963180661494
25.5,-1148.4375593136876
25.75,-1251.183266981393
26.0,-1203.5398239094854
26.25,-1292.1365853802265
26.5,-1357.5802618459481
26.75,-1191.5951573282796
27.0,-1082.7912769253871
27.25,-1054.8219189465349
27.5,-1249.5018557015778
27.75,-1136.7194849623554
28.0,-1118.8326508863113
28.25,-1080.2174591175776
28.5,-1259.8645158927518
28.75,-1201.15161382621
29.0,-1212.0740925225973
29.25,-1208.9212891616564
29.5,-1165.2470708346307
29.75,-1253.8885307134074
30.0,-1076.4869903678564
30.25,-980.1211741881531
30.5,-1056.2876561875119
30.75,-1036.6216723141965
31.0,-949.4511158446363
31.25,-1052.9651532850414
31.5,-1193.9876290661618
31.75,-1019.1783809969544
32.0,-1156.9166104326173
32.25,-1171.2398826508202
32.5,-1095.4679103149003
32.75,-1087.6933019477576
33.0,-1300.0958564357556
33.25,-1064.1718781975949
33.5,-890.9474585979679
33.75,-1035.825694378592
34.0,-1037.8050044367812
34.25,-891.4031152103577
34.5,-1071.3404027988931
34.75,-767.0425739336254
35.0,-1030.789196015882
35.25,-1060.621667479928
35.5,-1072.5806852587882
35.75,-1195.4061491892937
36.0,-951.3352670306768
36.25,-1002.2191996888622
36.5,-953.4555887489103
36.75,-975.3851080938923
37.0,-797.5273887490822
37.25,-953.1113304497003
37.5,-805.7215075494796
37.75,-825.6742072413942
38.0,-665.2936069444957
38.25,-897.1419443574587
38.5,-893.2243473211294
38.75,-804.4826434141731
39.0,-806.7882992349457
39.25,-760.5992613115237
39.5,-743.679574050989
39.75,-836.890593738
40.0,-901.5731132747226
40.25,-806.7556385814362
40.5,-845.1458083151304
40.75,-811.8433931197611
41.0,-881.8179340281879
41.25,-985.6220808018271
41.5,-804.5886575311222
41.75,-887.1447711357022
42.0,-949.1027777673751
42.25,-780.5739333250817
42.5,-892.5428723808747
42.75,-996.0578737455011
43.0,-941.4790673336389
43.25,-1033.0937804508173
43.5,-868.6253603181152
43.75,-849.3708827973777
44.0,-870.7629446329179
44.25,-887.0685843240478
44.5,-974.9005386164467
44.75,-908.6131546371823
45.0,-780.6354086671664
45.25,-900.7416891546161
45.5,-945.5358312595495
45.75,-895.5100200193622
46.0,-1017.4260112239498
46.25,-999.3924691423651
46.5,-840.4370902898318
46.75,-1091.8730006029223
47.0,-1016.4300696178257
47.25,-1205.4577285954574
47.5,-1085.9777778440944
47.75,-1037.2894594250624
48.0,-1156.7852055002668
48.25,-1115.253863796493
