time, value
0.0,-326.23291015625
0.1,-6.561279296875
0.2,-3.509521484375
0.3,-3.204345703125
0.4,-0.6103515625
0.5,3.204345703125
0.6,3.35693359375
0.7,1.52587890625
0.8,0.0
0.9,4.119873046875
1.0,3.204345703125
1.1,6.7138671875
1.2,9.918212890625
1.3,6.103515625
1.4,12.359619140625
1.5,15.716552734375
1.6,17.7001953125
1.7,16.632080078125
1.8,1.373291015625
1.9,5.950927734375
2.0,0.762939453125
2.1,4.8828125
2.2,4.8828125
2.3,0.762939453125
2.4,7.171630859375
2.5,8.392333984375
2.6,9.765625
2.7,3.96728515625
2.8,-912.017822265625
2.9,-481.109619140625
3.0,1607.208251953125
3.1,-209.04541015625
3.2,51.116943359375
3.3,11.444091796875
3.4,9.765625
3.5,223.846435546875
3.6,1863.09814453125
3.7,-1991.119384765625
3.8,10.3759765625
3.9,-19.683837890625
4.0,11.138916015625
4.1,0.6103515625
4.2,9.765625
4.3,-3.0517578125
4.4,9.002685546875
4.5,8.087158203125
4.6,8.23974609375
4.7,3.509521484375
4.8,7.171630859375
4.9,5.4931640625
5.0,9.765625
5.1,5.79833984375
5.2,5.645751953125
5.3,14.34326171875
5.4,20.599365234375
5.5,28.076171875
5.6,36.62109375
5.7,43.792724609375
5.8,46.69189453125
5.9,52.18505859375
6.0,55.389404296875
6.1,62.713623046875
6.2,71.4111328125
6.3,73.2421875
6.4,79.803466796875
6.5,79.345703125
6.6,88.653564453125
6.7,92.1630859375
6.8,98.57177734375
6.9,102.23388671875
7.0,108.33740234375
7.1,112.762451171875
7.2,117.49267578125
7.3,119.32373046875
7.4,123.748779296875
7.5,129.547119140625
7.6,139.007568359375
7.7,135.040283203125
7.8,139.7705078125
7.9,138.092041015625
8.0,138.24462890625
8.1,142.51708984375
8.2,145.721435546875
8.3,144.95849609375
8.4,148.468017578125
8.5,146.331787109375
8.6,148.773193359375
8.7,146.484375
8.8,148.3154296875
8.9,148.92578125
9.0,146.636962890625
9.1,148.468017578125
9.2,150.7568359375
9.3,146.026611328125
9.4,147.247314453125
9.5,140.838623046875
9.6,138.092041015625
9.7,134.27734375
9.8,136.71875
9.9,132.293701171875
10.0,132.598876953125
10.1,125.732421875
10.2,124.359130859375
10.3,121.76513671875
10.4,119.93408203125
10.5,112.152099609375
10.6,105.28564453125
10.7,104.522705078125
10.8,99.945068359375
10.9,95.977783203125
11.0,93.68896484375
11.1,85.601806640625
11.2,80.413818359375
11.3,76.59912109375
11.4,70.343017578125
11.5,69.427490234375
11.6,61.34033203125
11.7,54.3212890625
11.8,48.675537109375
11.9,41.351318359375
12.0,31.585693359375
12.1,22.27783203125
12.2,17.39501953125
12.3,12.054443359375
12.4,6.256103515625
12.5,-0.152587890625
12.6,-8.392333984375
12.7,-15.2587890625
12.8,-14.95361328125
12.9,-24.4140625
13.0,-32.958984375
13.1,-40.58837890625
13.2,-47.454833984375
13.3,-61.187744140625
13.4,-62.408447265625
13.5,-70.648193359375
13.6,-75.37841796875
13.7,-86.0595703125
13.8,-91.552734375
13.9,-97.96142578125
14.0,-108.0322265625
14.1,-108.795166015625
14.2,-121.76513671875
14.3,-128.936767578125
14.4,-134.429931640625
14.5,-138.5498046875
14.6,-147.247314453125
14.7,-153.50341796875
14.8,-157.77587890625
14.9,-168.45703125
15.0,-176.08642578125
15.1,-177.91748046875
15.2,-185.699462890625
15.3,-187.68310546875
15.4,-190.12451171875
15.5,-192.56591796875
15.6,-197.1435546875
15.7,-199.89013671875
15.8,-207.21435546875
15.9,-209.808349609375
16.0,-217.742919921875
16.1,-220.03173828125
16.2,-222.625732421875
16.3,-227.813720703125
16.4,-232.391357421875
16.5,-228.8818359375
16.6,-232.391357421875
16.7,-228.424072265625
16.8,-231.93359375
16.9,-240.325927734375
17.0,-240.631103515625
17.1,-239.410400390625
17.2,-232.391357421875
17.3,-231.62841796875
17.4,-241.241455078125
17.5,-244.7509765625
17.6,-240.325927734375
17.7,-240.325927734375
17.8,-239.410400390625
17.9,-236.51123046875
18.0,-238.800048828125
18.1,-235.29052734375
18.2,-237.73193359375
18.3,-237.274169921875
18.4,-231.62841796875
18.5,-233.306884765625
18.6,-231.01806640625
18.7,-227.05078125
18.8,-225.677490234375
18.9,-220.3369140625
19.0,-220.3369140625
19.1,-215.606689453125
19.2,-213.470458984375
19.3,-210.87646484375
19.4,-204.925537109375
19.5,-199.432373046875
19.6,-197.1435546875
19.7,-189.361572265625
19.8,-186.1572265625
19.9,-185.699462890625
20.0,-180.96923828125
20.1,-174.560546875
20.2,-171.5087890625
20.3,-165.4052734375
20.4,-159.759521484375
20.5,-154.11376953125
20.6,-149.688720703125
20.7,-140.838623046875
20.8,-132.4462890625
20.9,-128.7841796875
21.0,-119.0185546875
21.1,-111.38916015625
21.2,-104.06494140625
21.3,-98.114013671875
21.4,-91.094970703125
21.5,-83.6181640625
21.6,-78.125
21.7,-72.93701171875
21.8,-66.22314453125
21.9,-56.915283203125
22.0,-46.539306640625
22.1,-41.50390625
22.2,-34.942626953125
22.3,-27.313232421875
22.4,-21.97265625
22.5,-17.39501953125
22.6,-3.0517578125
22.7,0.6103515625
22.8,12.054443359375
22.9,16.78466796875
23.0,25.634765625
23.1,30.670166015625
23.2,35.09521484375
23.3,45.166015625
23.4,46.08154296875
23.5,55.084228515625
23.6,64.849853515625
23.7,76.446533203125
23.8,82.09228515625
23.9,90.63720703125
24.0,95.21484375
24.1,103.912353515625
24.2,111.541748046875
24.3,117.7978515625
24.4,122.0703125
24.5,129.39453125
24.6,129.852294921875
24.7,141.6015625
24.8,145.111083984375
24.9,145.263671875
25.0,147.857666015625
25.1,155.029296875
25.2,158.99658203125
25.3,162.65869140625
25.4,167.8466796875
25.5,173.03466796875
25.6,178.375244140625
25.7,175.628662109375
25.8,184.9365234375
25.9,185.394287109375
26.0,186.920166015625
26.1,187.07275390625
26.2,190.582275390625
26.3,194.39697265625
26.4,194.39697265625
26.5,194.7021484375
26.6,193.17626953125
26.7,190.887451171875
26.8,194.244384765625
26.9,191.802978515625
27.0,195.3125
27.1,192.87109375
27.2,199.432373046875
27.3,196.533203125
27.4,195.159912109375
27.5,194.854736328125
27.6,195.159912109375
27.7,193.023681640625
27.8,191.802978515625
27.9,189.361572265625
28.0,188.140869140625
28.1,186.767578125
28.2,182.80029296875
28.3,184.173583984375
28.4,176.544189453125
28.5,173.187255859375
28.6,171.051025390625
28.7,169.830322265625
28.8,165.863037109375
28.9,160.675048828125
29.0,155.33447265625
29.1,151.9775390625
29.2,144.805908203125
29.3,140.07568359375
29.4,137.786865234375
29.5,134.58251953125
29.6,131.072998046875
29.7,120.54443359375
29.8,119.62890625
29.9,111.99951171875
30.0,110.16845703125
30.1,107.72705078125
30.2,100.250244140625
30.3,91.85791015625
30.4,86.669921875
30.5,79.65087890625
30.6,68.817138671875
30.7,67.44384765625
30.8,52.642822265625
30.9,46.9970703125
31.0,38.909912109375
31.1,39.36767578125
31.2,28.076171875
31.3,20.904541015625
31.4,12.51220703125
31.5,7.32421875
31.6,-2.44140625
31.7,-8.697509765625
31.8,-12.054443359375
31.9,-22.5830078125
32.0,-29.296875
32.1,-36.773681640625
32.2,-44.708251953125
32.3,-49.13330078125
32.4,-57.373046875
32.5,-68.511962890625
32.6,-68.511962890625
32.7,-81.48193359375
32.8,-86.0595703125
32.9,-88.958740234375
33.0,-99.639892578125
33.1,-107.421875
33.2,-112.60986328125
33.3,-120.2392578125
33.4,-126.800537109375
33.5,-134.735107421875
33.6,-145.56884765625
33.7,-152.130126953125
33.8,-153.045654296875
33.9,-158.233642578125
34.0,-160.675048828125
34.1,-166.015625
34.2,-174.86572265625
34.3,-175.628662109375
34.4,-185.24169921875
34.5,-183.563232421875
34.6,-192.718505859375
34.7,-194.854736328125
34.8,-197.1435546875
34.9,-203.2470703125
35.0,-203.399658203125
35.1,-208.43505859375
35.2,-210.113525390625
35.3,-208.282470703125
35.4,-216.6748046875
35.5,-217.132568359375
35.6,-221.25244140625
35.7,-222.16796875
35.8,-222.320556640625
35.9,-225.372314453125
36.0,-216.97998046875
36.1,-222.930908203125
36.2,-221.405029296875
36.3,-223.236083984375
36.4,-223.08349609375
36.5,-225.52490234375
36.6,-221.25244140625
36.7,-216.6748046875
36.8,-212.09716796875
36.9,-215.301513671875
37.0,-212.70751953125
37.1,-212.40234375
37.2,-211.944580078125
37.3,-208.587646484375
37.4,-203.704833984375
37.5,-202.178955078125
37.6,-199.737548828125
37.7,-195.61767578125
37.8,-193.328857421875
37.9,-194.549560546875
38.0,-188.29345703125
38.1,-184.02099609375
38.2,-181.732177734375
38.3,-174.102783203125
38.4,-175.47607421875
38.5,-166.015625
38.6,-163.57421875
38.7,-161.7431640625
38.8,-153.045654296875
38.9,-151.519775390625
39.0,-146.17919921875
39.1,-141.754150390625
39.2,-138.5498046875
39.3,-133.209228515625
39.4,-130.31005859375
39.5,-121.612548828125
39.6,-111.99951171875
39.7,-105.133056640625
39.8,-96.74072265625
39.9,-93.68896484375
40.0,-84.075927734375
40.1,-81.939697265625
40.2,-72.174072265625
40.3,-62.8662109375
40.4,-58.746337890625
40.5,-46.234130859375
40.6,-45.166015625
40.7,-36.468505859375
40.8,-25.787353515625
40.9,-22.5830078125
41.0,-14.0380859375
41.1,-7.171630859375
41.2,-2.13623046875
41.3,7.781982421875
41.4,14.34326171875
41.5,20.1416015625
41.6,30.517578125
