time, value
0.0,-80.87158203125
0.1,1.983642578125
0.2,-8.392333984375
0.3,115.05126953125
0.4,101.470947265625
0.5,92.620849609375
0.6,79.65087890625
0.7,72.32666015625
0.8,59.50927734375
0.9,53.7109375
1.0,45.318603515625
1.1,44.097900390625
1.2,41.656494140625
1.3,32.958984375
1.4,22.5830078125
1.5,18.9208984375
1.6,-20.294189453125
1.7,-10.833740234375
1.8,19.22607421875
1.9,24.10888671875
2.0,24.71923828125
2.1,24.10888671875
2.2,23.8037109375
2.3,23.49853515625
2.4,23.8037109375
2.5,22.5830078125
2.6,22.27783203125
2.7,22.125244140625
2.8,21.66748046875
2.9,21.3623046875
3.0,20.904541015625
3.1,22.5830078125
3.2,20.294189453125
3.3,19.683837890625
3.4,21.209716796875
3.5,19.073486328125
3.6,18.9208984375
3.7,18.61572265625
3.8,18.157958984375
3.9,19.83642578125
4.0,17.7001953125
4.1,17.547607421875
4.2,17.242431640625
4.3,19.378662109375
4.4,16.4794921875
4.5,16.326904296875
4.6,16.021728515625
4.7,16.632080078125
4.8,15.56396484375
4.9,15.411376953125
5.0,15.106201171875
5.1,3.662109375
5.2,14.190673828125
5.3,-107.269287109375
5.4,-99.334716796875
5.5,0.0
5.6,-26.614197635935042
5.7,-26.30353535804251
5.8,-53.085839721511775
5.9,-109.70936373064792
6.0,-163.06416483640928
6.1,-206.5905532206584
6.2,-234.33915138338796
6.3,-283.3903287054177
6.4,-321.54951489341806
6.5,-359.65188840160096
6.6,-417.07751404940393
6.7,-448.0513927263547
6.8,-489.80630404403905
6.9,-531.0520454513305
7.0,-556.6836850009056
7.1,-549.1548531581745
7.2,-562.0251068562521
7.3,-585.2248228286983
7.4,-581.371116314254
7.5,-593.8000683371545
7.6,-620.6817166415948
7.7,-631.0417848901607
7.8,-646.7013805953997
7.9,-654.9967223318262
8.0,-666.6099509162648
8.1,-664.4521866663029
8.2,-671.2599655497388
8.3,-676.6582280535291
8.4,-676.3754076475982
8.5,-688.1125719688725
8.6,-695.2384917258868
8.7,-692.5660084180531
8.8,-688.3356774324261
8.9,-674.7663056589126
9.0,-683.291768389867
9.1,-655.0138906606313
9.2,-651.5789125625695
9.3,-631.9414057163913
9.4,-608.6142737185494
9.5,-607.690725232865
9.6,-600.790075196405
9.7,-567.313604608624
9.8,-544.0356253884062
9.9,-513.4091448305104
10.0,-511.5980925522875
10.1,-502.7448989934122
10.2,-492.9536500782375
10.3,-486.03959929099994
10.4,-488.4119805234748
10.5,-469.70633263279694
10.6,-452.96394313153536
10.7,-433.1499149164774
10.8,-430.8641040832002
10.9,-419.8618721859993
11.0,-405.0264986464934
11.1,-389.5627845610903
11.2,-389.4929025949977
11.3,-360.4142097598308
11.4,-340.0163375281165
11.5,-312.58314522236196
11.6,-297.4936968351038
11.7,-287.11898979572294
11.8,-273.06707240293275
11.9,-259.15301476684374
12.0,-248.58152622950305
12.1,-247.761652857806
12.2,-227.8546292276703
12.3,-211.44380051523743
12.4,-199.29243520773588
12.5,-180.10935030913816
12.6,-170.22176310324025
12.7,-154.5237776774134
12.8,-144.00201987902625
12.9,-121.56693632965604
13.0,-123.68731609095511
13.1,-107.18106232603672
13.2,-102.10825887836523
13.3,-92.4474399713838
13.4,-71.94275834148489
13.5,-70.3491025856761
13.6,-66.60958755216654
13.7,-62.40291777397126
13.8,-48.726639570629104
13.9,-43.12858650562676
14.0,-45.761567027744626
14.1,-34.19537632766285
14.2,-26.283007409913672
14.3,-16.684088724014117
14.4,-8.14540187048605
14.5,-2.1930203974684463
14.6,-0.20042515674993133
14.7,6.834884249452452
14.8,20.28601825901903
14.9,34.81222458081055
15.0,42.17358535021285
15.1,40.233702568649555
15.2,37.38474682699541
15.3,51.02157829720007
15.4,47.87988139830834
15.5,51.915803371189654
15.6,67.55424519941613
15.7,76.0267521418549
15.8,78.85906247066701
15.9,80.93385152403154
16.0,98.27271404228998
16.1,101.57864455308234
16.2,98.32832244604771
16.3,107.13734626828817
16.4,126.47971606867159
16.5,119.58163215029965
16.6,134.81334069984382
16.7,138.7579813718281
16.8,142.55436065593892
16.9,135.21604360544274
17.0,136.579351817294
17.1,142.52431063264157
17.2,140.38602602644298
17.3,147.71200876427162
17.4,146.64938137315357
17.5,139.33428237952066
17.6,143.6194053142437
17.7,149.73903771908434
17.8,157.99827007640584
17.9,153.1382301308585
18.0,160.03066291550627
18.1,152.58295999798767
18.2,151.3944094310532
18.3,152.9554144543245
18.4,163.21682938474444
18.5,151.96618027381356
18.6,162.69094611283515
18.7,167.7726505861397
18.8,169.50004562226235
18.9,170.77223635242163
19.0,172.04692325752302
19.1,172.10334158178762
19.2,172.46731012235583
19.3,172.98618236359232
19.4,171.2184948779434
19.5,179.9815747120742
19.6,180.81223271138825
19.7,183.4760408297825
19.8,192.09282037774193
19.9,186.3683314431275
20.0,189.95364785963764
20.1,188.8106356916735
20.2,192.5522852355885
20.3,181.95247661542865
20.4,178.83123366064535
20.5,169.0673828125
20.6,158.38623046875
20.7,157.77587890625
20.8,149.993896484375
20.9,147.0947265625
21.0,147.247314453125
21.1,146.636962890625
21.2,156.55517578125
21.3,158.0810546875
21.4,151.3671875
21.5,153.50341796875
21.6,156.402587890625
21.7,167.694091796875
21.8,169.219970703125
21.9,152.740478515625
22.0,171.20361328125
22.1,159.912109375
22.2,169.677734375
22.3,165.863037109375
22.4,179.290771484375
22.5,184.326171875
22.6,178.375244140625
22.7,180.35888671875
22.8,180.816650390625
22.9,187.530517578125
23.0,193.634033203125
23.1,196.380615234375
23.2,190.12451171875
23.3,201.873779296875
23.4,189.8193359375
23.5,195.770263671875
23.6,184.02099609375
23.7,189.056396484375
23.8,180.0537109375
23.9,186.46240234375
24.0,186.767578125
24.1,201.416015625
24.2,189.666748046875
24.3,181.2744140625
24.4,178.985595703125
24.5,179.74853515625
24.6,180.511474609375
24.7,178.375244140625
24.8,180.6640625
24.9,177.91748046875
25.0,179.74853515625
25.1,174.86572265625
25.2,180.96923828125
25.3,183.10546875
25.4,185.85205078125
25.5,190.277099609375
25.6,190.12451171875
25.7,181.121826171875
25.8,184.326171875
25.9,181.732177734375
26.0,175.78125
26.1,171.20361328125
26.2,172.882080078125
26.3,173.64501953125
26.4,165.4052734375
26.5,164.947509765625
26.6,161.43798828125
26.7,171.81396484375
26.8,171.20361328125
26.9,167.694091796875
27.0,168.45703125
27.1,173.492431640625
27.2,170.745849609375
27.3,179.595947265625
27.4,172.576904296875
27.5,167.54150390625
27.6,175.018310546875
27.7,177.91748046875
27.8,179.901123046875
27.9,175.323486328125
28.0,169.677734375
28.1,155.181884765625
28.2,160.980224609375
28.3,158.38623046875
28.4,160.064697265625
28.5,171.356201171875
28.6,171.81396484375
28.7,174.86572265625
28.8,163.116455078125
28.9,161.590576171875
29.0,154.876708984375
29.1,156.55517578125
29.2,155.029296875
29.3,156.402587890625
29.4,154.876708984375
29.5,155.181884765625
29.6,156.55517578125
29.7,150.45166015625
29.8,159.759521484375
29.9,149.688720703125
30.0,150.604248046875
30.1,140.533447265625
30.2,138.397216796875
30.3,138.24462890625
30.4,135.650634765625
30.5,145.263671875
30.6,136.871337890625
30.7,148.468017578125
30.8,148.773193359375
30.9,150.146484375
31.0,153.1982421875
31.1,151.824951171875
31.2,147.39990234375
31.3,147.39990234375
31.4,135.650634765625
31.5,142.364501953125
31.6,139.617919921875
31.7,140.9912109375
31.8,146.17919921875
31.9,142.669677734375
32.0,145.8740234375
32.1,135.345458984375
32.2,140.533447265625
32.3,130.92041015625
32.4,137.3291015625
32.5,137.939453125
32.6,136.1083984375
32.7,128.7841796875
32.8,125.274658203125
32.9,115.203857421875
33.0,119.32373046875
33.1,118.255615234375
33.2,119.32373046875
33.3,119.32373046875
33.4,120.086669921875
33.5,121.307373046875
33.6,113.983154296875
33.7,114.898681640625
33.8,115.966796875
33.9,111.38916015625
34.0,114.74609375
34.1,113.677978515625
34.2,112.9150390625
34.3,111.083984375
34.4,99.639892578125
34.5,102.386474609375
34.6,89.874267578125
34.7,98.2666015625
34.8,86.97509765625
34.9,100.250244140625
35.0,106.048583984375
35.1,108.489990234375
35.2,105.5908203125
35.3,105.89599609375
35.4,104.217529296875
35.5,97.65625
35.6,96.282958984375
35.7,89.874267578125
35.8,85.906982421875
35.9,90.789794921875
36.0,99.4873046875
36.1,97.96142578125
36.2,95.672607421875
36.3,92.620849609375
36.4,88.5009765625
36.5,92.926025390625
36.6,90.484619140625
36.7,79.498291015625
36.8,78.277587890625
36.9,77.667236328125
37.0,79.04052734375
37.1,77.667236328125
37.2,76.59912109375
37.3,81.48193359375
37.4,74.462890625
37.5,74.615478515625
37.6,68.206787109375
37.7,77.362060546875
37.8,83.770751953125
37.9,79.803466796875
38.0,66.986083984375
38.1,83.160400390625
38.2,85.906982421875
38.3,88.653564453125
38.4,94.451904296875
38.5,86.517333984375
38.6,75.68359375
38.7,72.32666015625
38.8,66.5283203125
38.9,62.255859375
39.0,65.61279296875
39.1,59.814453125
39.2,62.103271484375
39.3,32.196044921875
39.4,39.0625
39.5,67.7490234375
