time, value
0.0,-22.27783203125
0.1,3.509521484375
0.2,7.781982421875
0.3,16.326904296875
0.4,2.13623046875
0.5,-10.68115234375
0.6,2.74658203125
0.7,-1.983642578125
0.8,-14.95361328125
0.9,-10.223388671875
1.0,-41.351318359375
1.1,-24.871826171875
1.2,-26.702880859375
1.3,-14.95361328125
1.4,-22.27783203125
1.5,-28.99169921875
1.6,-19.073486328125
1.7,-23.193359375
1.8,-0.457763671875
1.9,2.899169921875
2.0,3.35693359375
2.1,3.204345703125
2.2,3.204345703125
2.3,5.4931640625
2.4,3.35693359375
2.5,5.035400390625
2.6,3.662109375
2.7,5.4931640625
2.8,2.74658203125
2.9,4.57763671875
3.0,2.593994140625
3.1,3.35693359375
3.2,3.35693359375
3.3,2.44140625
3.4,3.662109375
3.5,4.119873046875
3.6,2.44140625
3.7,2.288818359375
3.8,3.96728515625
3.9,1.678466796875
4.0,2.288818359375
4.1,2.899169921875
4.2,-10.223388671875
4.3,0.0
4.4,-137.2838926611847
4.5,-202.54741715911996
4.6,-287.3432803094395
4.7,-378.0911329675951
4.8,-479.67376141830675
4.9,-565.0830834529268
5.0,-648.8149237440842
5.1,-719.7303419550989
5.2,-810.1779471779041
5.3,-870.2614760432216
5.4,-916.0026345029754
5.5,-965.2541837536896
5.6,-1000.6210828008583
5.7,-1023.3240138361549
5.8,-1056.0985521462237
5.9,-1063.0865235217939
6.0,-1062.751043307733
6.1,-1065.620657015909
6.2,-1063.7607758602264
6.3,-1029.2477978388292
6.4,-1058.8224280353397
6.5,-1033.9238582953744
6.6,-1029.625314090833
6.7,-1003.3547576344495
6.8,-976.3218898227276
6.9,-955.6983260072528
7.0,-925.3097346568742
7.1,-896.7527807076259
7.2,-884.2181236003821
7.3,-850.0165403187397
7.4,-828.9380562396221
7.5,-797.6367107497264
7.6,-755.9599029403045
7.7,-744.0382353490272
7.8,-740.6619787957981
7.9,-741.1008965937633
8.0,-733.6057093855133
8.1,-721.5333392763449
8.2,-688.0991070927059
8.3,-656.3437733908169
8.4,-626.26732751234
8.5,-601.0741047652182
8.6,-589.4616047765521
8.7,-560.7596516425135
8.8,-539.534886109665
8.9,-522.2777772876814
9.0,-501.3589214715967
9.1,-475.55760658919473
9.2,-454.9446246954166
9.3,-423.34565087315707
9.4,-403.34368463419446
9.5,-382.8842745233777
9.6,-370.35974662919114
9.7,-358.1406987194444
9.8,-327.61140062708387
9.9,-322.56456963612357
10.0,-295.85054039894106
10.1,-279.36017508806236
10.2,-264.24336925118143
10.3,-252.4837588381624
10.4,-247.1330951968968
10.5,-235.52657710051284
10.6,-220.71595621218472
10.7,-218.11260348753905
10.8,-195.21529237403112
10.9,-184.06747419791398
11.0,-169.41035433254754
11.1,-154.44827305429578
11.2,-145.13215280475995
11.3,-135.5110606874703
11.4,-124.51687643340968
11.5,-120.84710489786667
11.6,-123.43362605736654
11.7,-107.40460906917778
11.8,-104.04056695589281
11.9,-105.71210074320551
12.0,-91.3620771915092
12.1,-82.2002088713132
12.2,-71.20744869185111
12.3,-61.89331411725454
12.4,-45.56029146091522
12.5,-36.55163861740931
12.6,-18.23527177885717
12.7,-3.58115801071713
12.8,1.6123663911131842
12.9,13.061857621264348
13.0,22.832748742057927
13.1,22.074945388740844
13.2,31.69299178716767
13.3,44.97302388080713
13.4,49.55542558269906
13.5,50.47560026173803
13.6,52.92153910390988
13.7,63.14934845785727
13.8,69.4097635085254
13.9,78.87441781013902
14.0,96.2735386003868
14.1,101.00776320831415
14.2,102.38495546217534
14.3,113.83285217537127
14.4,121.00819400734854
14.5,123.14804382446079
14.6,121.47310701391856
14.7,134.90428421957824
14.8,137.80681196832109
14.9,144.98171774952314
15.0,152.0039547819922
15.1,158.41576139024704
15.2,165.59043053701532
15.3,166.2037453713256
15.4,170.1739206359442
15.5,174.44920032478294
15.6,174.60453737152812
15.7,184.06766786949188
15.8,189.41085911956097
15.9,181.32625142811938
16.0,184.68567256119496
16.1,195.06407524545574
16.2,207.73123638793186
16.3,210.17495043633815
16.4,210.78755281749875
16.5,210.94233595387365
16.6,216.74281684256283
16.7,221.32254174366415
16.8,215.37365063423448
