time, value
0.0,-20.1416015625
0.1,11.749267578125
0.2,-33.26416015625
0.3,-30.517578125
0.4,-21.97265625
0.5,-28.228759765625
0.6,-29.296875
0.7,-26.397705078125
0.8,-22.430419921875
0.9,-18.00537109375
1.0,-17.7001953125
1.1,-22.735595703125
1.2,-19.073486328125
1.3,-20.44677734375
1.4,-20.904541015625
1.5,-16.17431640625
1.6,-0.30517578125
1.7,-0.457763671875
1.8,2.288818359375
1.9,3.509521484375
2.0,3.204345703125
2.1,3.509521484375
2.2,5.035400390625
2.3,3.204345703125
2.4,3.204345703125
2.5,2.288818359375
2.6,3.0517578125
2.7,3.0517578125
2.8,3.0517578125
2.9,2.899169921875
3.0,3.35693359375
3.1,4.425048828125
3.2,1.52587890625
3.3,2.74658203125
3.4,2.593994140625
3.5,2.593994140625
3.6,2.44140625
3.7,1.52587890625
3.8,2.593994140625
3.9,2.44140625
4.0,2.44140625
4.1,2.44140625
4.2,2.593994140625
4.3,1.068115234375
4.4,3.96728515625
4.5,1.52587890625
4.6,2.288818359375
4.7,2.288818359375
4.8,0.91552734375
4.9,2.13623046875
5.0,1.8310546875
5.1,-5.18798828125
5.2,-37.078857421875
5.3,1.373291015625
5.4,41.80908203125
5.5,0.0
5.6,14.989301628542137
5.7,35.269321970766796
5.8,53.66966115232783
5.9,62.86730101512538
6.0,64.23670352396498
6.1,55.94795602968888
6.2,52.3454340923622
6.3,47.63188420870998
6.4,49.437760428615405
6.5,61.27361759547836
6.6,52.622885429598526
6.7,45.00143947061145
6.8,47.71809973874654
6.9,47.49865477154077
7.0,31.984397364507885
7.1,23.75922475050313
7.2,13.363555171264927
7.3,-5.9156325178940605
7.4,-15.309202616157648
7.5,-19.393987061458056
7.6,-29.613292739961686
7.7,-38.18437169859937
7.8,-50.90481715095951
7.9,-61.21262160436984
8.0,-65.2923775766264
8.1,-75.96077519896005
8.2,-98.25253928308813
8.3,-121.4858585864556
8.4,-138.79363540040197
8.5,-154.29511600787106
8.6,-171.80438638541347
8.7,-187.50615307111065
8.8,-201.70501037005812
8.9,-204.32959038154868
9.0,-214.60541420710456
9.1,-191.3332119172609
9.2,-176.4741272925104
9.3,-207.10650460382274
9.4,-220.0584566512836
9.5,-210.29409492002765
9.6,-208.48310935326998
9.7,-234.46146141412038
9.8,-227.95648145161937
9.9,-205.2946320895646
10.0,-177.46181068482596
10.1,-165.9724896831013
10.2,-143.36043901257
10.3,-125.1892238746552
10.4,-116.79903066610925
10.5,-101.40481126664153
10.6,-84.80453475443639
10.7,-55.85892350253765
10.8,-33.48852326532969
10.9,-27.916378739349035
11.0,-15.338443504538589
11.1,14.6215862010649
11.2,25.03775996709116
11.3,44.291736691547314
11.4,60.02420079097912
11.5,81.2381338745791
11.6,100.9147817261101
11.7,118.13889862501003
11.8,136.5728686161655
11.9,150.87638341596445
12.0,160.8971164078601
12.1,165.71979507130064
12.2,174.65252926600206
12.3,185.40674302791354
12.4,206.22241886134742
12.5,205.20891819924339
12.6,204.03394639103456
12.7,207.27535948383021
12.8,216.4592502970031
12.9,222.58314191526728
13.0,235.10768703782935
13.1,236.48547669932063
13.2,247.46865758133882
13.3,250.50981103967723
13.4,257.3583887691919
13.5,266.33610354388054
13.6,269.3559722978703
13.7,265.3500506098842
13.8,267.5936515600046
13.9,270.1360098963015
14.0,260.9228407301389
14.1,261.92695486959923
14.2,262.92511438483746
14.3,259.6450053585493
14.4,254.8333532122393
14.5,254.13604974896862
14.6,247.02466691264138
14.7,236.70368343575703
14.8,227.59827789130804
14.9,228.40608658637473
15.0,231.4978384068427
15.1,237.02624161329268
15.2,233.54732180686054
15.3,236.47257044011496
15.4,226.4234370761233
15.5,227.50891734887546
15.6,229.20055303135953
15.7,212.27237350820647
15.8,202.8170091216957
15.9,199.76644318803665
16.0,201.59489291834126
16.1,198.38423916620022
16.2,193.03374328315138
16.3,198.81864092582612
16.4,201.09058156481
16.5,198.0185953358772
16.6,191.58640754613268
16.7,188.8131418507207
16.8,184.66347655325634
16.9,183.562537233137
17.0,178.1861799966393
17.1,173.87505402370692
17.2,175.66463091045787
17.3,165.70219690119023
17.4,169.46999746303914
17.5,170.64119435956192
17.6,162.349396942028
17.7,158.0224024240644
17.8,151.86193224905693
17.9,152.1077922847066
18.0,150.21511895414025
18.1,139.012338256724
18.2,126.89183963172653
18.3,125.9081205242303
18.4,124.92231766893698
18.5,119.81460946688797
18.6,115.46785859574612
18.7,117.68045383803334
18.8,113.48247222109401
18.9,106.23089389067796
19.0,94.55247323378708
19.1,88.2128795320534
19.2,85.2285133956666
19.3,79.19072554036798
19.4,76.81342423565326
19.5,69.39913978357502
19.6,66.5609483719114
19.7,65.24713030171625
19.8,63.77925594864153
19.9,54.98573070804614
20.0,62.05994931453147
20.1,59.824944301542224
20.2,58.504137976046664
20.3,54.13027798643464
20.4,50.06032992114657
20.5,51.422119140625
20.6,39.36767578125
20.7,42.266845703125
20.8,42.41943359375
20.9,38.75732421875
21.0,30.82275390625
21.1,35.247802734375
21.2,32.196044921875
21.3,22.125244140625
21.4,21.97265625
21.5,22.125244140625
21.6,16.17431640625
21.7,14.801025390625
21.8,14.495849609375
21.9,8.85009765625
22.0,4.57763671875
22.1,3.96728515625
22.2,1.373291015625
22.3,1.52587890625
22.4,-5.645751953125
22.5,-5.4931640625
22.6,-4.2724609375
22.7,-6.103515625
22.8,-2.44140625
22.9,-5.645751953125
23.0,-10.68115234375
23.1,-10.68115234375
23.2,-14.6484375
23.3,-14.95361328125
23.4,-17.08984375
23.5,-16.326904296875
23.6,-23.651123046875
23.7,-18.61572265625
23.8,-20.751953125
23.9,-23.040771484375
24.0,-34.637451171875
24.1,-34.1796875
24.2,-36.163330078125
24.3,-34.332275390625
24.4,-38.299560546875
24.5,-39.0625
24.6,-40.130615234375
24.7,-41.19873046875
24.8,-47.149658203125
24.9,-44.708251953125
25.0,-45.7763671875
25.1,-48.675537109375
25.2,-46.539306640625
25.3,-44.403076171875
25.4,-47.760009765625
25.5,-51.116943359375
25.6,-52.490234375
25.7,-50.96435546875
25.8,-59.2041015625
25.9,-56.610107421875
26.0,-58.135986328125
26.1,-60.11962890625
26.2,-55.5419921875
26.3,-60.882568359375
26.4,-56.915283203125
26.5,-55.084228515625
26.6,-58.135986328125
26.7,-57.373046875
26.8,-63.17138671875
26.9,-64.697265625
27.0,-61.187744140625
27.1,-64.239501953125
27.2,-63.17138671875
27.3,-64.544677734375
27.4,-63.78173828125
27.5,-64.544677734375
27.6,-68.359375
27.7,-70.037841796875
27.8,-70.1904296875
27.9,-68.511962890625
28.0,-68.05419921875
28.1,-69.27490234375
28.2,-67.7490234375
28.3,-72.021484375
28.4,-70.648193359375
28.5,-72.784423828125
28.6,-75.98876953125
28.7,-76.446533203125
28.8,-76.446533203125
28.9,-74.920654296875
29.0,-73.699951171875
29.1,-75.225830078125
29.2,-76.904296875
29.3,-80.87158203125
29.4,-77.056884765625
29.5,-82.3974609375
29.6,-79.9560546875
29.7,-82.244873046875
29.8,-82.550048828125
29.9,-84.686279296875
30.0,-80.56640625
30.1,-79.65087890625
30.2,-79.9560546875
30.3,-79.65087890625
30.4,-81.48193359375
30.5,-79.498291015625
30.6,-86.822509765625
30.7,-74.615478515625
30.8,-82.244873046875
30.9,-81.1767578125
31.0,-83.6181640625
31.1,-81.634521484375
31.2,-87.127685546875
31.3,-80.87158203125
31.4,-85.75439453125
31.5,-87.890625
31.6,-85.296630859375
31.7,-88.348388671875
31.8,-93.536376953125
31.9,-90.33203125
32.0,-95.062255859375
32.1,-92.315673828125
32.2,-85.296630859375
32.3,-94.451904296875
32.4,-90.484619140625
32.5,-91.552734375
32.6,-99.639892578125
32.7,-95.21484375
32.8,-93.68896484375
32.9,-95.367431640625
33.0,-92.620849609375
33.1,-94.146728515625
33.2,-92.620849609375
33.3,-93.841552734375
33.4,-96.13037109375
33.5,-96.435546875
33.6,-96.588134765625
33.7,-91.705322265625
33.8,-97.96142578125
33.9,-96.282958984375
34.0,-93.841552734375
34.1,-97.198486328125
34.2,-95.367431640625
34.3,-96.588134765625
34.4,-88.958740234375
34.5,-91.094970703125
34.6,-96.435546875
34.7,-85.14404296875
34.8,-93.536376953125
34.9,-95.52001953125
35.0,-90.02685546875
35.1,-92.1630859375
35.2,-90.179443359375
35.3,-96.13037109375
35.4,-88.653564453125
35.5,-89.874267578125
35.6,-88.958740234375
35.7,-93.07861328125
35.8,-92.1630859375
35.9,-93.231201171875
36.0,-91.705322265625
36.1,-87.127685546875
36.2,-85.75439453125
36.3,-90.02685546875
36.4,-91.094970703125
36.5,-89.874267578125
36.6,-84.228515625
36.7,-84.381103515625
36.8,-88.5009765625
36.9,-83.770751953125
37.0,-85.296630859375
37.1,-84.8388671875
37.2,-79.498291015625
37.3,-83.31298828125
37.4,-85.14404296875
37.5,-84.686279296875
37.6,-85.44921875
37.7,-88.5009765625
37.8,-83.31298828125
37.9,-80.108642578125
38.0,-79.65087890625
38.1,-80.56640625
38.2,-75.836181640625
38.3,-78.582763671875
38.4,-78.887939453125
38.5,-77.667236328125
38.6,-79.345703125
38.7,-73.8525390625
38.8,-79.65087890625
38.9,-71.258544921875
39.0,-72.32666015625
39.1,-69.580078125
39.2,-60.4248046875
39.3,-53.863525390625
39.4,-70.49560546875
39.5,-65.460205078125
39.6,-60.72998046875
39.7,-57.9833984375
39.8,-58.135986328125
39.9,-61.03515625
40.0,-60.577392578125
40.1,-58.441162109375
40.2,-53.863525390625
40.3,-53.40576171875
40.4,-37.078857421875
40.5,-23.040771484375
40.6,-16.78466796875
40.7,-48.2177734375
40.8,-61.03515625
40.9,-52.337646484375
41.0,-49.896240234375
41.1,-52.032470703125
41.2,-46.38671875
41.3,-44.708251953125
41.4,-49.74365234375
41.5,-44.403076171875
41.6,-44.708251953125
41.7,-46.9970703125
41.8,-44.5556640625
41.9,-42.572021484375
42.0,-39.97802734375
42.1,-36.468505859375
42.2,-40.740966796875
42.3,-35.858154296875
42.4,-34.1796875
42.5,-28.228759765625
42.6,-32.501220703125
42.7,-36.0107421875
42.8,-28.533935546875
42.9,-32.501220703125
43.0,-26.55029296875
43.1,-25.0244140625
